job_id,company_name,job_title,salary_raw,disclosure_status,pay_period,rmb_min,rmb_max,salary_months,parse_note
JOB_0034,同花顺,算法实习生,430-520元/天,numeric_disclosed,day,430.0,520.0,,
JOB_0035,同花顺,agent算法/合伙人/专家（多模态/大模型）,30-60K·15薪,numeric_disclosed,month,30000.0,60000.0,15.0,
JOB_0036,同花顺,ACM工程开发——摘星计划,35-50K·15薪,numeric_disclosed,month,35000.0,50000.0,15.0,
JOB_0037,同花顺,推理优化算法专家,60-90K·15薪,numeric_disclosed,month,60000.0,90000.0,15.0,
JOB_0038,同花顺,VLA算法工程师,400-550元/天,numeric_disclosed,day,400.0,550.0,,
JOB_0039,同花顺,语音引擎开发工程师,30-60K·15薪,numeric_disclosed,month,30000.0,60000.0,15.0,
JOB_0040,同花顺,AI研发-寻找ACMer,30-60K,numeric_disclosed,month,30000.0,60000.0,,
JOB_0041,同花顺,安全开发专家,30-60K,numeric_disclosed,month,30000.0,60000.0,,
JOB_0042,同花顺,AI应用开发工程师,20-40K,numeric_disclosed,month,20000.0,40000.0,,
JOB_0043,同花顺,行情后台开发工程师,25-45K,numeric_disclosed,month,25000.0,45000.0,,
JOB_0044,同花顺,C++开发主管（PC客户端）,50-80K·16薪,numeric_disclosed,month,50000.0,80000.0,16.0,
JOB_0045,同花顺,Java开发工程师,20-40K·14薪,numeric_disclosed,month,20000.0,40000.0,14.0,
JOB_0046,同花顺,算法博士（实习/社招）,50-80K·15薪,numeric_disclosed,month,50000.0,80000.0,15.0,
JOB_0047,同花顺,量化策略研发工程师,30-45K,numeric_disclosed,month,30000.0,45000.0,,
JOB_0048,同花顺,C/C++ 研发工程师,20-40K·14薪,numeric_disclosed,month,20000.0,40000.0,14.0,
JOB_0049,同花顺,C/C++ 开发工程师,25-50K·15薪,numeric_disclosed,month,25000.0,50000.0,15.0,
JOB_0050,同花顺,C/C++ 开发工程师,20-35K,numeric_disclosed,month,20000.0,35000.0,,
JOB_0051,同花顺,博士算法研究员,40-65K·14薪,numeric_disclosed,month,40000.0,65000.0,14.0,
JOB_0052,同花顺,Java开发工程师,20-40K,numeric_disclosed,month,20000.0,40000.0,,
JOB_0053,同花顺,多模态算法工程师,35-50K·15薪,numeric_disclosed,month,35000.0,50000.0,15.0,
JOB_0054,同花顺,算法博士（全球AIME计划）,40-70K·15薪,numeric_disclosed,month,40000.0,70000.0,15.0,
JOB_0055,同花顺,大模型算法工程师,40-70K·15薪,numeric_disclosed,month,40000.0,70000.0,15.0,
JOB_0056,同花顺,搜索算法专家,50-75K·15薪,numeric_disclosed,month,50000.0,75000.0,15.0,
JOB_0057,同花顺,大模型算法工程师,40-55K·15薪,numeric_disclosed,month,40000.0,55000.0,15.0,
JOB_0058,同花顺,AI技术总监,50-80K·15薪,numeric_disclosed,month,50000.0,80000.0,15.0,
JOB_0059,同花顺,ACM专项—大模型开发工程师,30-40K,numeric_disclosed,month,30000.0,40000.0,,
JOB_0060,同花顺,AI Agent工程师,40-70K,numeric_disclosed,month,40000.0,70000.0,,
JOB_0061,同花顺,Agent开发工程师,25-45K·14薪,numeric_disclosed,month,25000.0,45000.0,14.0,
JOB_0062,同花顺,ACM工程开发——摘星计划,25-35K·15薪,numeric_disclosed,month,25000.0,35000.0,15.0,
JOB_0063,同花顺,agent工程开发,50-80K·16薪,numeric_disclosed,month,50000.0,80000.0,16.0,
JOB_0064,同花顺,C++开发工程师（ACM计划）,30-50K,numeric_disclosed,month,30000.0,50000.0,,
JOB_0065,同花顺,AI infra（云原生、沙箱、GPU）,30-60K·15薪,numeric_disclosed,month,30000.0,60000.0,15.0,
JOB_0066,同花顺,算法博士专项【NLP/语音/多模态/图像】,65-95K·15薪,numeric_disclosed,month,65000.0,95000.0,15.0,
JOB_0067,同花顺,AI算法合伙人/专家/负责人,30-60K·15薪,numeric_disclosed,month,30000.0,60000.0,15.0,
JOB_0068,同花顺,容器与算力平台稳定性开发工程师,35-65K·15薪,numeric_disclosed,month,35000.0,65000.0,15.0,
JOB_0069,同花顺,大模型基座算法工程师,45-75K·15薪,numeric_disclosed,month,45000.0,75000.0,15.0,
JOB_0070,同花顺,算法专家（NER/命名实体识别）,63-75K·15薪,numeric_disclosed,month,63000.0,75000.0,15.0,
