episode,simulated_reward,rolling_mean_reward_200
2130,0.625,0.5325
2131,0.625,0.5325
2132,0.625,0.5325
2133,0.125,0.53
2134,0.625,0.533125
2135,0.625,0.533125
2136,0.125,0.530625
2137,0.125,0.52875
2138,0.625,0.53125
2139,0.25,0.529375
2140,0.625,0.529375
2141,0.0,0.52625
2142,0.0,0.523125
2143,0.625,0.52625
2144,0.625,0.52625
2145,0.625,0.52625
2146,0.125,0.52375
2147,0.625,0.52375
2148,0.625,0.52375
2149,0.375,0.5225
2150,0.625,0.5225
2151,0.625,0.5225
2152,0.625,0.5225
2153,0.625,0.5225
2154,0.625,0.5225
2155,0.625,0.5225
2156,0.625,0.5225
2157,0.625,0.5225
2158,0.625,0.5225
2159,0.0,0.519375
2160,0.625,0.519375
2161,0.625,0.519375
2162,0.625,0.519375
2163,0.625,0.519375
2164,0.625,0.519375
2165,0.625,0.519375
2166,0.625,0.5225
2167,0.625,0.525
2168,0.625,0.525
2169,0.625,0.525
2170,0.625,0.525
2171,0.625,0.5275
2172,0.625,0.5275
2173,0.125,0.525
2174,0.625,0.525
2175,0.625,0.525
2176,0.625,0.525
2177,0.0,0.52375
2178,0.625,0.52375
2179,0.0,0.521875
2180,0.375,0.520625
2181,0.625,0.520625
2182,0.625,0.520625
2183,0.625,0.523125
2184,0.625,0.523125
2185,0.625,0.525625
2186,0.625,0.525625
2187,0.625,0.525625
2188,0.5,0.528125
2189,0.625,0.528125
2190,0.625,0.528125
2191,0.625,0.528125
2192,0.0,0.528125
2193,0.625,0.528125
2194,0.625,0.528125
2195,0.0,0.525
2196,0.625,0.528125
2197,0.0,0.525
2198,0.625,0.525
2199,0.625,0.525
2200,0.625,0.525
2201,0.0,0.521875
2202,0.625,0.521875
2203,0.25,0.52
2204,0.625,0.521875
2205,0.625,0.521875
2206,0.625,0.523125
2207,0.625,0.523125
2208,0.625,0.523125
2209,0.625,0.523125
2210,0.625,0.523125
2211,0.625,0.523125
2212,0.625,0.524375
2213,0.625,0.524375
2214,0.625,0.524375
2215,0.625,0.524375
2216,0.125,0.521875
2217,0.625,0.521875
2218,0.625,0.521875
2219,0.625,0.521875
2220,0.625,0.525
2221,0.625,0.525
2222,0.625,0.528125
2223,0.625,0.528125
2224,0.125,0.525625
2225,0.625,0.52875
2226,0.625,0.52875
2227,0.125,0.52625
2228,0.625,0.529375
2229,0.625,0.529375
2230,0.625,0.529375
2231,0.625,0.5325
2232,0.625,0.5325
2233,0.625,0.535
2234,0.625,0.535
2235,0.625,0.538125
2236,0.625,0.538125
2237,0.625,0.538125
2238,0.125,0.535625
2239,0.625,0.535625
2240,0.625,0.535625
2241,0.625,0.535625
2242,0.625,0.538125
2243,0.625,0.54125
2244,0.625,0.54125
2245,0.625,0.54125
2246,0.625,0.54125
2247,0.0,0.538125
2248,0.625,0.538125
2249,0.625,0.538125
2250,0.375,0.536875
2251,0.125,0.534375
2252,0.625,0.534375
2253,0.0,0.53125
2254,0.625,0.53125
2255,0.0,0.528125
2256,0.625,0.530625
2257,0.625,0.530625
2258,0.625,0.530625
2259,0.625,0.533125
2260,0.0,0.53
2261,0.625,0.531875
2262,0.0,0.52875
2263,0.625,0.52875
2264,0.625,0.52875
2265,0.625,0.52875
2266,0.625,0.52875
2267,0.625,0.52875
2268,0.125,0.52625
2269,0.625,0.52625
2270,0.625,0.52625
2271,0.375,0.525
2272,0.625,0.525
2273,0.625,0.525
2274,0.625,0.526875
2275,0.625,0.526875
2276,0.625,0.526875
2277,0.625,0.526875
2278,0.625,0.526875
2279,0.625,0.526875
2280,0.625,0.526875
2281,0.625,0.526875
2282,0.625,0.529375
2283,0.625,0.529375
2284,0.625,0.529375
2285,0.625,0.529375
2286,0.625,0.529375
2287,0.625,0.529375
2288,0.625,0.529375
2289,0.625,0.53125
2290,0.625,0.53125
2291,0.625,0.53125
2292,0.625,0.53125
2293,0.625,0.53125
2294,0.625,0.53125
2295,0.125,0.53125
2296,0.625,0.53125
2297,0.0,0.528125
2298,0.625,0.53125
2299,0.625,0.53125
2300,0.625,0.53125
2301,0.625,0.53125
2302,0.375,0.53
2303,0.625,0.53
2304,0.625,0.53
2305,0.625,0.53
2306,0.625,0.53
2307,0.125,0.5275
2308,0.0,0.524375
2309,0.625,0.524375
2310,0.625,0.524375
2311,0.625,0.526875
2312,0.625,0.526875
2313,0.625,0.526875
2314,0.625,0.526875
2315,0.375,0.528125
2316,0.625,0.528125
2317,0.625,0.528125
2318,0.625,0.528125
2319,0.0,0.525
2320,0.625,0.5275
2321,0.625,0.5275
2322,0.625,0.5275
2323,0.625,0.5275
2324,0.25,0.525625
2325,0.375,0.524375
2326,0.625,0.524375
